ECMP        SP       Greedy
num of workers 4
56.800        61.344       27.264
50.552        54.528       30.672
52.824        81.792       34.080
55.664        61.344       37.488
29.536        81.792       34.080
49.416        37.488       30.672
64.184        88.608       71.568
43.736        37.488       34.080
73.272        68.160       54.528
45.440        92.016       51.120
num of workers 5
34.133        63.488       32.768
56.320        63.488       32.768
43.008        47.104       38.912
40.277        51.200       47.104
47.104        53.248       30.720
38.912        69.632       38.912
52.907        40.960       32.768
51.200        38.912       26.624
36.523        63.488       34.816
32.085        57.344       49.152
num of workers 6
44.653        57.120       48.960
45.787        54.400       36.720
39.893        74.800       46.240
30.147        40.800       28.560
39.667        39.440       29.920
36.947        66.640       31.280
26.067        50.320       42.160
33.320        55.760       32.640
27.653        47.600       34.000
29.920        55.760       43.520
num of workers 7
47.593        46.464       31.944
30.976        50.336       28.072
33.073        58.080       26.136
39.849        46.464       45.496
33.880        49.368       36.784
31.944        56.144       39.688
34.041        46.464       34.848
35.332        62.920       36.784
44.528        48.400       31.944
33.235        51.304       34.848
num of workers 8
25.601        35.672       26.208
28.028        55.328       40.040
52.295        36.400       33.488
22.932        53.144       34.216
29.363        32.032       28.392
26.693        53.872       33.488
39.433        37.128       26.936
32.760        85.176       53.872
57.876        71.344       34.944
32.396        47.320       26.208
num of workers 9
41.937        65.320       35.784
37.109        57.936       38.624
30.672        56.232       39.760
37.393        49.416       31.808
40.139        53.960       38.624
23.951        42.032       40.896
38.624        55.096       29.536
33.701        44.304       34.648
23.004        40.896       28.400
41.843        44.304       30.672
num of workers 10
35.243        45.248       26.880
28.896        60.928       38.528
26.133        43.904       38.976
46.891        47.936       32.704
27.701        40.768       30.016
42.261        36.288       30.464
36.960        41.216       38.080
32.480        44.800       29.568
29.269        47.040       28.224
32.779        38.080       29.120
num of workers 11
35.389        43.792       32.384
27.968        39.744       35.328
35.880        47.104       26.864
43.608        43.056       30.912
42.013        32.752       30.544
39.008        45.264       32.752
21.099        42.320       31.280
35.205        57.776       38.272
26.067        41.952       27.232
36.064        39.376       28.336
num of workers 12
48.539        51.376       35.568
29.032        37.088       25.840
35.923        50.464       29.184
19.456        42.560       35.872
31.059        37.696       26.144
23.053        39.824       30.704
45.043        40.432       25.840
40.888        47.424       34.048
20.165        45.296       36.784
34.707        38.304       35.568
num of workers 13
27.136        37.376       24.832
40.832        47.872       29.696
28.032        48.640       32.256
37.291        40.960       33.536
51.499        44.800       35.584
37.035        36.608       25.344
45.739        41.728       28.416
23.552        34.304       29.440
36.309        38.912       25.344
28.928        35.072       28.160
num of workers 14
23.445        45.920       33.824
22.923        41.664       31.136
25.723        36.064       33.824
41.328        41.664       26.656
36.960        41.216       32.480
44.352        38.752       31.808
49.728        31.584       25.984
36.997        38.304       29.344
33.600        42.784       31.808
43.120        42.336       37.408
num of workers 15
21.984        39.360       35.328
31.232        36.288       25.152
34.272        38.784       28.032
33.632        33.216       28.416
26.112        40.128       29.184
22.688        34.944       27.456
30.336        36.864       29.952
29.856        36.672       27.840
37.664        35.712       32.256
36.640        41.664       34.368
num of workers 16
37.800        34.944       26.208
32.928        41.664       29.904
32.788        35.280       30.576
28.364        33.264       26.544
27.020        30.912       28.560
45.276        39.984       34.608
23.856        36.624       28.560
39.452        41.664       32.592
48.720        36.624       30.072
41.272        37.128       33.096
num of workers 17
35.376        31.680       24.048
23.712        36.576       30.960
26.832        29.088       24.912
32.184        38.592       28.656
33.384        29.808       24.768
37.584        32.832       28.944
29.928        32.544       27.216
28.968        34.560       31.104
29.112        37.584       27.792
35.616        38.880       32.544
num of workers 18
40.171        33.920       29.184
23.808        31.488       27.392
36.181        36.480       30.592
34.347        35.840       31.360
34.560        36.480       28.672
39.211        39.552       30.464
29.141        36.096       32.000
37.781        31.488       26.112
31.637        38.400       30.464
29.973        31.360       26.368
num of workers 19
32.629        32.032       25.088
33.581        33.936       27.328
30.315        33.712       26.320
30.987        34.160       26.880
20.515        34.272       26.656
30.968        31.360       25.312
26.843        35.952       27.552
34.515        33.488       26.320
35.560        29.680       24.752
29.045        31.696       26.880
