SP        ECMP       Greedy
5.184          6.560         4.160
5.952          8.352         4.608
6.336          6.293         4.864
5.920          4.416         4.608
6.304          7.520         5.376
6.400          4.725         4.800
5.504          7.947         4.768
6.272          4.064         5.152
5.184          5.173         4.512
6.464          6.347         4.864
14.904        23.520       11.232
13.536        15.696       11.880
12.312        7.800        11.232
14.112        17.472       12.168
16.416        21.888       13.320
14.112        11.952       11.232
15.264        10.680       12.312
14.400        16.440       10.152
14.040        14.976       10.440
13.032        12.408       10.512
22.848        13.851       17.360
18.256        11.984       14.448
21.392        20.347       18.032
26.992        22.661       17.920
18.480        22.512       17.360
23.744        28.933       15.904
22.848        10.528       15.344
19.824        17.995       16.688
23.856        26.619       17.360
20.048        12.693       18.256
32.376        9.728         24.472
30.704        35.517       24.016
32.832        33.288       23.256
29.184        20.013       25.232
27.664        24.016       20.064
33.288        26.803       25.536
31.312        30.603       25.840
31.160        18.189       22.040
30.856        20.267       21.432
32.832        23.155       20.824
40.512        52.480       33.792
38.400        19.776       34.176
35.712        26.304       31.296
36.096        43.200       26.304
38.784        29.056       27.456
38.784        49.984       32.448
42.816        42.432       30.720
35.904        49.472       30.720
32.064        25.920       25.728
34.944        23.360       29.760
56.144        40.677       35.032
42.456        54.984       38.280
49.416        31.552       38.744
49.880        29.077       40.600
53.128        54.907       38.280
48.024        67.048       38.048
56.144        46.477       41.296
45.008        21.653       33.176
47.096        36.115       35.960
44.544        38.280       33.408
52.496        39.168       44.336
45.696        52.315       40.256
44.880        52.133       39.440
54.672        58.661       39.440
45.968        68.816       41.616
54.128        48.507       40.256
46.784        42.069       38.352
54.944        50.501       41.616
67.728        79.787       45.424
54.944        38.805       47.056
54.912        49.608       44.304
56.784        64.064       48.048
62.088        39.728       50.544
55.224        44.616       47.112
72.072        52.104       48.048
49.608        48.880       43.368
58.032        70.720       48.048
66.456        47.944       46.176
53.352        54.496       44.304
56.472        79.144       49.920
68.456        69.717       59.512
69.144        94.256       58.480
68.456        51.256       61.920
65.360        54.696       56.760
80.152        64.787       59.856
63.640        82.904       55.384
66.392        81.299       51.944
71.208        77.056       53.320
60.200        53.435       43.000
61.232        48.619       49.192
85.632        114.304       61.440
69.120        98.048       59.136
73.344        83.712       64.896
81.792        98.432       66.048
75.648        66.176       58.752
64.128        93.824       57.984
84.096        105.600       53.760
84.864        84.992       72.576
76.416        96.640       65.664
89.472        88.960       64.512
